"Prov/Terr","RTA","Total, tous les bénéficiaires, nombre","Total, tous les bénéficiaires, milliers de dollars","1 enfant, nombre","1 enfant, milliers de dollars","2 enfants, nombre","2 enfants, milliers de dollars","3 enfants ou plus, nombre","3 enfants ou plus, milliers de dollars","Enfants à charge auparavant, nombre","Enfants à charge auparavant, milliers de dollars"
24,"G0A",9420,55450,3430,11637,4070,24182,1550,18811,370,820
24,"G0C",4420,30413,1900,8375,1640,12509,610,8677,270,851
24,"G0E",300,2228,130,597,110,891,40,683,20,57
24,"G0G",1970,16051,850,4048,680,5645,350,6126,90,232
24,"G0H",1070,8394,490,2421,370,3226,160,2578,60,169
24,"G0J",2630,19011,1030,4221,960,7305,490,7057,150,428
24,"G0K",1300,8392,500,1798,510,3408,240,3066,60,120
24,"G0L",5910,40194,2170,8027,2280,15613,1160,15871,290,683
24,"G0M",3830,28538,1210,4787,1580,11216,850,11978,190,557
24,"G0N",2030,14941,630,2488,820,5739,460,6431,110,284
24,"G0P",770,6153,250,1020,310,2387,180,2664,40,82
24,"G0R",8560,59293,2880,10573,3480,23582,1790,24152,410,985
24,"G0S",9070,61674,2940,10490,3820,25153,1940,25183,370,849
24,"G0T",1120,7656,450,1871,410,2966,180,2632,70,186
24,"G0V",2150,13440,780,2659,860,5455,410,5157,90,170
24,"G0W",4460,37328,1690,8102,1620,13327,920,15138,220,761
24,"G0X",6390,45787,2320,9346,2570,18411,1210,17320,280,710
24,"G0Y",880,6752,320,1318,330,2486,200,2876,30,73
24,"G0Z",1010,8181,320,1302,450,3294,210,3508,30,77
24,"G1B",2320,12769,840,2565,1000,5733,390,4337,90,134
24,"G1C",3630,19639,1460,4692,1480,8419,520,6184,180,344
24,"G1E",2880,19726,1150,4585,1090,7713,500,6982,140,446
24,"G1G",2880,16438,1110,3789,1180,7073,450,5227,140,349
24,"G1H",2820,18241,1130,4502,1080,7399,460,5947,150,393
24,"G1J",2160,16514,980,4376,720,5725,340,6094,120,320
24,"G1K",1260,8973,630,2700,410,2963,170,3135,60,175
24,"G1L",1960,13224,920,3846,690,5048,260,4032,90,297
24,"G1M",1900,13677,850,3708,660,4934,290,4828,100,207
24,"G1N",630,4047,320,1354,210,1541,70,1075,30,77
24,"G1P",1710,10548,690,2596,680,4562,240,3170,90,220
24,"G1R",690,3538,360,1245,210,1266,70,888,50,139
24,"G1S",1460,6935,650,2082,560,3084,170,1518,90,252
24,"G1T",340,1461,120,321,130,567,70,546,20,28
24,"G1V",1340,9216,510,2021,490,3364,240,3491,110,340
24,"G1W",2020,11980,750,2658,820,5175,330,3740,120,407
24,"G1X",2520,15169,940,3369,1020,6177,420,5243,140,380
24,"G1Y",1160,5127,410,1079,520,2313,190,1649,50,86
24,"G2A",1800,9549,700,2289,750,4168,280,2999,70,93
24,"G2B",2840,16085,1090,3727,1190,7303,420,4769,140,286
24,"G2C",1240,6402,540,1823,500,2841,140,1620,50,118
24,"G2E",2150,10863,800,2557,920,5006,320,3125,110,175
24,"G2G",1190,6038,470,1477,510,2724,160,1708,60,129
24,"G2J",190,977,90,359,80,489,0,0,0,0
24,"G2K",1150,5614,490,1664,470,2612,120,1168,70,169
