province,"Agriculture, foresterie, pêche et chasse [11]","Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz [21]",Construction [23],Fabrication [31-33],Commerce de gros [41],Commerce de détail [44-45],Transport et entreposage [48-49],Industrie de l'information et industrie culturelle [51],Finance et assurances [52],Services immobiliers et services de location et de location à bail [53],"Services professionnels, scientifiques et techniques [54]","Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement [56]",Soins de santé et assistance sociale [62],"Arts, spectacles et loisirs [71]",Services d'hébergement et de restauration [72],Autres services (sauf les administrations publiques) [81]
Alberta,1.7,0.3,0.6,2.5,13.6,2.7,0.8,5.7,9.3,11.6,11.7,11.3,5.2,6.3,2.3,1.7
British Columbia,0.6,2.7,2.8,0.7,3.0,4.2,1.4,36.2,6.2,3.3,7.1,9.5,8.2,8.4,0.1,2.4
Manitoba,0.0,1.0,2.2,0.0,1.4,1.7,2.2,5.9,4.3,8.8,3.9,1.6,11.8,6.1,2.2,5.6
New Brunswick,0.0,13.0,0.0,2.8,0.0,2.3,1.3,46.6,3.3,6.4,24.0,1.0,3.6,30.2,0.0,6.0
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,4.2,2.4,10.1,14.4,8.9,13.4,0.3,0.0,8.5,2.4,3.3
Nova Scotia,0.0,0.0,0.0,3.6,6.7,0.0,17.9,17.8,20.1,12.1,20.2,1.8,8.7,3.4,2.7,4.2
Ontario,1.9,3.6,2.3,0.8,5.6,1.3,2.4,16.3,14.3,3.5,11.0,17.2,6.0,4.9,0.2,0.5
Prince Edward Island,0.0,,0.0,2.9,1.9,3.4,0.5,15.1,1.9,3.1,16.5,14.9,6.2,16.2,2.0,1.9
Quebec,0.0,1.8,2.2,11.2,13.7,11.7,3.3,20.2,10.5,20.9,26.9,2.2,3.5,9.4,1.0,9.0
Saskatchewan,0.0,2.1,1.1,0.0,20.3,2.3,0.9,7.9,6.3,0.3,14.3,11.7,6.2,20.9,1.8,13.1
