;janv-26;;;;;;;;;
;;;;;;;;;;
;Québec;Ontario;Nouveau-Brunswick;Nouvelle-Écosse;Alberta;Saskatchewan;Terre-Neuve-et-Labrador;Île-du-Prince-Édouard;Colombie-Britannique;Manitoba
Produits;;;;;;;;;;
;;;;;;;;;;
Boeuf à ragoût, par kilogramme 5;21,37;24,33;22,21;21,59;22,41;21,37;22,3;22,39;22,99;21,43
Contrefilets de boeuf, par kilogramme 5;26,48;37,63;37,81;40,28;45,61;41,68;42,74;43,86;45,12;42,11
Hauts de surlonge de boeuf, par kilogramme 5;36,05;25,66;30,57;30,33;31,4;30,49;27,94;30,86;33,28;30,57
Côtes de boeuf, par kilogramme 5;51,18;38,18;36,04;36,44;38,48;32,02;32,74;38,14;39,08;33,45
Boeuf haché, par kilogramme 5;14,57;15,89;14,92;14,89;16,41;15,71;15,25;15;16,82;15,85
Longes de porc, par kilogramme 5;9,47;8,03;10,04;10,16;9,76;9,3;9,53;10,05;9,81;9,51
Côtes de porc, par kilogramme 5;9,03;9,55;9,16;9,33;10,14;9,51;8,97;8,96;9,88;9,45
Épaule de porc, par kilogramme 5;7,86;4,96;8,91;8,57;7,12;6,24;9,13;8,91;7,27;6,59
Poulet entier, par kilogramme 5;6,05;8,66;8,05;8,84;9,68;9,07;8,11;8,6;9,58;9,6
Poitrines de poulet, par kilogramme 5;13,18;14,13;15,67;15,96;18,58;18;16,41;15,89;18,55;17,62
Hauts de cuisse de poulet, par kilogramme 5;14,13;12,66;9,87;10,33;12,6;11,91;9,65;10;13,06;12,1
Pilons de poulet, par kilogramme 5;6,01;8,18;7,16;7,73;7,9;6,54;7,55;7,77;7,8;6,65
Bacon, 500 grammes 6;8,06;6,52;7,64;7,59;7,92;7,72;7,6;7,68;8,1;7,65
Saucisses fumées, 400 grammes 6;3,49;4,72;4,41;4,54;4,82;4,58;4,26;4,43;5,05;4,72
Saumon, par kilogramme 5;27,22;28,92;26,12;27,72;29,88;25,3;25,38;25,9;32,8;27,97
Crevette, 300 grammes 6;7,86;7,38;7,62;7,61;7,67;7,51;7,64;7,52;7,78;7,39
Saumon en conserve, 213 grammes 6;5,16;4,97;5,21;5,08;5,34;5,12;4,67;5,22;5,53;5,38
Thon en conserve, 170 grammes 5;1,52;1,73;1,98;1,96;1,71;1,6;1,77;1,95;1,75;1,62
Burgers sans viande, 226 grammes 6;6,62;6,82;7,31;7,4;7,82;7,85;7,5;6,51;7,6;7,54
Lait, 1 litre 5;2,87;3,87;2,76;3,15;3,09;2,96;3,72;2,84;3,11;2,05
Lait, 2 litres 5;5,29;5,84;5,05;4,95;5,39;5,04;5,1;4,63;5,51;4,71
Lait, 4 litres 5;8,3;6,63;8,57;7,26;6,17;6,04;..;9,2;6,1;6,05
Lait de soja, 1,89 litres 6;4,38;3,94;4,52;4,51;4,29;4,28;4,52;4,45;4,45;4,23
Lait de noix, 1,89 litres 6;4,34;4,05;4,37;4,34;4,33;4,32;4,49;4,34;4,28;4,25
Crème, 1 litre 5;5,16;4,63;4,78;5,31;5,09;5,02;6,08;5,26;4,8;5,13
Beurre, 454 grammes 5;5,52;5,77;6,08;5,99;6,36;6,22;6,54;5,61;6,34;6,3
Margarine, 907 grammes 6;7,05;7,37;7,48;7,64;7,51;7,32;7,82;7,71;7,5;7,36
Fromage en bloc, 500  grammes 6;6,73;6,91;7,28;7,2;7,33;7,13;7,29;7,28;7,46;7,14
Yogourt, 500 grammes 6;3,81;3,67;4,08;4,01;3,85;3,74;4,12;4,04;3,86;3,8
Oeufs, 1 douzaine 5;4,07;4,93;5,17;5,33;5,08;4,66;5,38;5,25;5,53;4,66
Pommes, par kilogramme 5;5,66;5,41;6,32;6,1;5,68;5,63;6,53;6,07;5,56;5,54
Oranges, par kilogramme 5;5,55;2,89;5,37;5,18;3,77;3,92;5,84;5,17;3,65;3,71
Oranges, 1,36 kilogrammes 5 6;6,14;4,05;6,53;6,61;5,82;6,02;7,15;6,7;5,68;5,66
Bananes, par kilogramme 5;1,79;1,54;2,05;2,02;1,82;1,81;2,29;2,01;1,67;1,8
Poires, par kilogramme 5;5,02;5,05;6,35;6,43;5,97;6,05;7,16;6,39;6,03;5,97
Citrons, unité 5;1,03;1,05;1,08;1,06;1,05;1,07;1,21;0,95;1,05;1,05
Limes, unité 5;0,72;0,71;0,89;0,9;0,77;0,77;1,04;0,86;0,8;0,75
Raisins, par kilogramme 5;7,4;7,56;9,08;9,14;9,11;8,62;10,11;8,76;8,91;8,71
Cantaloup, unité 5;3,08;3,01;4,99;5,05;4,79;4,77;5,2;5,14;4,75;4,45
Fraises, 454 grammes 6;2,92;3,63;4,45;4,65;5,13;5,19;5,39;4,79;4,93;4,95
Avocat, unité 5;1,83;1,84;2,2;2,19;2,23;2,26;2,44;2,06;2,45;2,16
Pommes de terre, 4,54 kilogrammes 5;4,05;4,24;5,03;5,49;7,31;7,37;6,19;5,55;6,96;7,29
